Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Dodge,Dodge PICKUP 3.0L,PICKUP TRUCK - SMALL,3.0,6,A9,Z,15.0,7.8,12.6,22,299
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,AS6,D,15.0,9.3,13.1,22,353
Ram,Ram PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AV,X,15.5,6.5,12.5,23,292
Ford,Ford COMPACT 2.0L,COMPACT,2.0,3,AS6,Z,9.4,6.1,8.3,34,194
Ram,Ram PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,A8,X,13.7,6.2,11.2,25,267
Ford,Ford VAN 6.2L,VAN - PASSENGER,6.2,8,M5,X,20.2,13.3,17.9,16,417
Lexus,Lexus MID-SIZE 3.5L,MID-SIZE,3.5,6,AV,X,14.8,6.7,12.1,23,285
Toyota,Toyota STATION 3.5L,STATION WAGON - SMALL,3.5,6,A9,Z,14.7,8.7,12.7,22,295
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A9,X,7.0,3.5,5.7,50,140
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,M6,X,20.6,10.4,17.2,16,406
Audi,Audi MINIVAN 1.8L,MINIVAN,1.8,4,M5,E,12.3,8.4,11.0,26,184
Ram,Ram PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,M6,X,20.8,12.4,18.0,16,418
Toyota,Toyota MINICOMPACT 3.6L,MINICOMPACT,3.6,6,A8,Z,16.2,8.4,13.6,21,320
Nissan,Nissan SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,M5,E,20.8,10.3,17.3,16,288
Honda,Honda PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,A8,X,10.2,5.1,8.5,33,202
Toyota,Toyota FULL-SIZE 3.5L,FULL-SIZE,3.5,6,M6,X,16.5,7.8,13.6,21,316
Nissan,Nissan VAN 2.0L,VAN - PASSENGER,2.0,4,AS10,X,10.6,6.4,9.2,31,218
Audi,Audi SUV 2.0L,SUV - SMALL,2.0,4,AS8,Z,9.3,6.6,8.4,34,193
Lexus,Lexus TWO-SEATER 3.0L,TWO-SEATER,3.0,6,A8,Z,15.8,6.8,12.8,22,298
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,AS8,Z,16.6,7.0,13.4,21,312
BMW,BMW PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,AS10,Z,16.7,10.4,14.6,19,340
Porsche,Porsche MINIVAN 2.0L,MINIVAN,2.0,4,M5,X,10.2,6.6,9.0,31,209
Lexus,Lexus COMPACT 3.6L,COMPACT,3.6,6,AV,E,21.3,10.5,17.7,16,296
Toyota,Toyota COMPACT 2.4L,COMPACT,2.4,4,AV,E,16.8,6.9,13.5,21,221
Nissan,Nissan PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,A9,X,14.2,7.3,11.9,24,284
BMW,BMW SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,AS6,Z,13.3,6.1,10.9,26,256
Chevrolet,Chevrolet VAN 6.2L,VAN - PASSENGER,6.2,8,AS6,E,28.8,15.0,24.2,12,398
Toyota,Toyota VAN 3.0L,VAN - CARGO,3.0,6,AV,X,13.7,8.9,12.1,23,283
BMW,BMW MINIVAN 2.0L,MINIVAN,2.0,4,AS10,X,11.1,4.5,8.9,32,211
Audi,Audi SUV 2.4L,SUV - SMALL,2.4,4,A8,X,10.1,6.2,8.8,32,202
Ford,Ford VAN 6.2L,VAN - PASSENGER,6.2,8,A9,E,29.4,14.7,24.5,12,404
Ram,Ram PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AV,X,20.2,10.3,16.9,17,395
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AS6,X,7.1,5.0,6.4,44,148
Honda,Honda SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,AV,Z,12.1,7.6,10.6,27,247
Audi,Audi TWO-SEATER 2.0L,TWO-SEATER,2.0,3,M5,Z,9.4,6.4,8.4,34,199
BMW,BMW SUV 1.5L,SUV - SMALL,1.5,4,AS6,X,9.2,5.6,8.0,35,184
Jeep,Jeep MINICOMPACT 1.5L,MINICOMPACT,1.5,4,AV,Z,9.9,4.8,8.2,34,191
Honda,Honda TWO-SEATER 3.6L,TWO-SEATER,3.6,6,AS10,Z,15.2,8.6,13.0,22,310
Chevrolet,Chevrolet PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,A6,E,19.2,10.5,16.3,17,269
Lexus,Lexus COMPACT 2.4L,COMPACT,2.4,4,A8,Z,12.7,5.2,10.2,28,233
Jeep,Jeep MID-SIZE 2.4L,MID-SIZE,2.4,4,AM7,X,11.8,7.3,10.3,27,242
Porsche,Porsche COMPACT 5.0L,COMPACT,5.0,8,AV,X,18.4,13.3,16.7,17,390
Volkswagen,Volkswagen SUV 1.5L,SUV - SMALL,1.5,4,A6,X,9.3,5.7,8.1,35,185
Nissan,Nissan MINIVAN 2.0L,MINIVAN,2.0,4,AS8,E,14.6,8.0,12.4,23,208
Mercedes-Benz,Mercedes-Benz MID-SIZE 1.5L,MID-SIZE,1.5,4,AS6,X,10.7,4.7,8.7,32,200
Subaru,Subaru FULL-SIZE 3.6L,FULL-SIZE,3.6,6,A6,Z,14.9,10.4,13.4,21,320
Dodge,Dodge SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,AV,E,14.6,6.8,12.0,24,197
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,A6,E,19.9,10.9,16.9,17,280
Ford,Ford SUV 5.3L,SUV - STANDARD,5.3,8,A6,X,19.9,13.0,17.6,16,417
Mercedes-Benz,Mercedes-Benz FULL-SIZE 1.5L,FULL-SIZE,1.5,4,A9,Z,9.2,5.0,7.8,36,185
Jeep,Jeep COMPACT 3.0L,COMPACT,3.0,6,AS6,X,12.8,8.6,11.4,25,267
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A9,X,8.2,3.7,6.7,42,165
Chevrolet,Chevrolet VAN 6.2L,VAN - PASSENGER,6.2,8,M5,X,22.2,11.4,18.6,15,442
Nissan,Nissan PICKUP 1.5L,PICKUP TRUCK - STANDARD,1.5,4,M5,Z,10.1,7.1,9.1,31,216
Mercedes-Benz,Mercedes-Benz SUV 1.5L,SUV - STANDARD,1.5,4,A6,Z,11.0,5.3,9.1,31,216
Ram,Ram PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,M6,X,18.7,9.4,15.6,18,363
GMC,GMC VAN 2.7L,VAN - PASSENGER,2.7,6,AS6,E,17.4,9.9,14.9,19,240
GMC,GMC MINICOMPACT 1.8L,MINICOMPACT,1.8,4,AV,Z,11.1,4.8,9.0,31,209
Toyota,Toyota SUBCOMPACT 4.0L,SUBCOMPACT,4.0,8,AM7,X,15.6,10.5,13.9,20,326
Mercedes-Benz,Mercedes-Benz SUV 3.6L,SUV - SMALL,3.6,6,AM7,X,14.2,9.1,12.5,23,298
BMW,BMW MINICOMPACT 3.6L,MINICOMPACT,3.6,6,AS6,X,15.5,8.3,13.1,22,305
Ford,Ford PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,M5,E,19.1,8.9,15.7,18,253
Dodge,Dodge MID-SIZE 2.4L,MID-SIZE,2.4,4,AS10,Z,11.8,8.5,10.7,26,252
Jeep,Jeep PICKUP 2.5L,PICKUP TRUCK - STANDARD,2.5,4,AS8,Z,13.1,8.3,11.5,25,270
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AS6,X,7.3,4.3,6.3,45,136
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,M5,X,6.5,3.8,5.6,50,134
Audi,Audi COMPACT 3.6L,COMPACT,3.6,6,A6,X,15.0,9.0,13.0,22,311
Hyundai,Hyundai TWO-SEATER 2.4L,TWO-SEATER,2.4,4,AS6,Z,12.0,6.0,10.0,28,233
Porsche,Porsche TWO-SEATER 5.0L,TWO-SEATER,5.0,8,AV,Z,19.6,9.4,16.2,17,383
GMC,GMC SUV 3.3L,SUV - STANDARD,3.3,6,M5,X,13.5,9.3,12.1,23,283
Chevrolet,Chevrolet VAN 3.3L,VAN - PASSENGER,3.3,6,AS6,X,14.7,7.2,12.2,23,290
Toyota,Toyota VAN 3.6L,VAN - CARGO,3.6,6,M5,X,12.2,8.6,11.0,26,260
Ford,Ford MINIVAN 3.5L,MINIVAN,3.5,6,A8,Z,15.9,8.4,13.4,21,312
Porsche,Porsche MID-SIZE 3.6L,MID-SIZE,3.6,6,M6,E,19.9,13.9,17.9,16,290
Nissan,Nissan FULL-SIZE 2.4L,FULL-SIZE,2.4,4,AS8,X,11.4,6.6,9.8,29,235
Chevrolet,Chevrolet SUV 3.5L,SUV - STANDARD,3.5,6,AM7,X,15.5,6.8,12.6,22,296
Honda,Honda PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,A9,Z,9.7,6.4,8.6,33,204
Nissan,Nissan TWO-SEATER 2.5L,TWO-SEATER,2.5,4,AV,X,11.7,6.6,10.0,28,239
BMW,BMW VAN 3.5L,VAN - CARGO,3.5,6,AV,Z,13.4,9.5,12.1,23,285
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,M6,X,11.9,8.0,10.6,27,249
Honda,Honda FULL-SIZE 1.8L,FULL-SIZE,1.8,4,A8,E,14.2,6.7,11.7,24,194
Toyota,Toyota MINIVAN 1.8L,MINIVAN,1.8,4,A9,Z,10.4,5.6,8.8,32,217
Hyundai,Hyundai SUV 2.5L,SUV - STANDARD,2.5,4,AS8,X,11.9,7.1,10.3,27,239
Toyota,Toyota MID-SIZE 3.0L,MID-SIZE,3.0,6,AM7,X,13.1,8.3,11.5,25,274
GMC,GMC SUV 6.2L,SUV - STANDARD,6.2,8,AV,E,27.5,20.0,25.0,11,412
Audi,Audi FULL-SIZE 1.5L,FULL-SIZE,1.5,4,M5,Z,8.7,5.7,7.7,37,186
Audi,Audi VAN 4.0L,VAN - CARGO,4.0,8,AS6,Z,16.3,11.2,14.6,19,343
Dodge,Dodge PICKUP 5.0L,PICKUP TRUCK - SMALL,5.0,8,A9,X,17.1,12.3,15.5,18,365
Mercedes-Benz,Mercedes-Benz TWO-SEATER 2.4L,TWO-SEATER,2.4,4,A6,Z,12.3,7.8,10.8,26,253
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,AV,E,18.6,9.6,15.6,18,263
Ford,Ford SUV 5.3L,SUV - STANDARD,5.3,8,AS6,X,20.2,10.0,16.8,17,399
Hyundai,Hyundai STATION 2.4L,STATION WAGON - SMALL,2.4,4,AM7,Z,10.9,7.0,9.6,29,223
Nissan,Nissan MID-SIZE 1.5L,MID-SIZE,1.5,3,AS10,X,8.7,5.7,7.7,37,176
Volkswagen,Volkswagen MINIVAN 3.0L,MINIVAN,3.0,6,M6,X,13.8,7.5,11.7,24,280
Chevrolet,Chevrolet FULL-SIZE 1.8L,FULL-SIZE,1.8,4,AM7,Z,11.1,6.6,9.6,29,224
Ford,Ford SUBCOMPACT 4.0L,SUBCOMPACT,4.0,8,M5,Z,16.5,10.2,14.4,20,342
Ford,Ford VAN 5.0L,VAN - PASSENGER,5.0,8,AS8,X,18.1,11.8,16.0,18,382
BMW,BMW MINIVAN 5.0L,MINIVAN,5.0,8,AM7,X,19.2,7.8,15.4,18,361
Audi,Audi MINIVAN 3.6L,MINIVAN,3.6,6,AS8,X,14.8,9.1,12.9,22,305
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,AS6,X,19.9,8.5,16.1,18,375
Mercedes-Benz,Mercedes-Benz VAN 3.0L,VAN - PASSENGER,3.0,6,AM7,Z,14.4,6.6,11.8,24,266
Lexus,Lexus FULL-SIZE 5.0L,FULL-SIZE,5.0,8,AS6,X,20.3,8.6,16.4,17,380
BMW,BMW MINICOMPACT 2.0L,MINICOMPACT,2.0,4,AM7,X,9.0,6.0,8.0,35,186
Toyota,Toyota SUV 3.0L,SUV - STANDARD,3.0,6,AS10,E,17.2,10.9,15.1,19,242
Hyundai,Hyundai COMPACT 2.5L,COMPACT,2.5,4,AM7,Z,12.0,5.7,9.9,29,228
Mercedes-Benz,Mercedes-Benz MINIVAN 2.4L,MINIVAN,2.4,4,A8,Z,10.6,7.6,9.6,29,229
Nissan,Nissan MID-SIZE 2.5L,MID-SIZE,2.5,4,A6,Z,12.2,5.0,9.8,29,232
Dodge,Dodge COMPACT 3.6L,COMPACT,3.6,6,AV,Z,16.2,8.1,13.5,21,313
Porsche,Porsche SUV 3.0L,SUV - STANDARD,3.0,6,A9,Z,14.0,5.9,11.3,25,268
Ford,Ford COMPACT 3.6L,COMPACT,3.6,6,A6,Z,16.0,8.5,13.5,21,319
Subaru,Subaru VAN 2.4L,VAN - CARGO,2.4,4,AS8,X,12.4,5.5,10.1,28,242
Toyota,Toyota SUV 1.8L,SUV - SMALL,1.8,4,AM7,X,10.3,6.7,9.1,31,213
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AM7,E,27.6,12.3,22.5,13,361
Toyota,Toyota MID-SIZE 2.0L,MID-SIZE,2.0,4,AS8,X,11.1,6.3,9.5,30,220
Bugatti,Bugatti TWO-SEATER 6.5L,TWO-SEATER,6.5,12,AM7,Z,25.2,15.3,21.9,13,514
Toyota,Toyota STATION 5.0L,STATION WAGON - SMALL,5.0,8,A6,X,19.3,9.4,16.0,18,380
BMW,BMW SUV 2.0L,SUV - SMALL,2.0,4,A6,Z,11.2,7.9,10.1,28,240
Nissan,Nissan MINICOMPACT 1.5L,MINICOMPACT,1.5,4,AS8,X,7.9,5.8,7.2,39,177
Chevrolet,Chevrolet PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AS6,E,19.7,8.0,15.8,18,262
Ford,Ford MINICOMPACT 3.0L,MINICOMPACT,3.0,6,M5,E,17.8,12.7,16.1,18,266
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,AM7,X,18.5,11.6,16.2,17,376
Ford,Ford COMPACT 1.5L,COMPACT,1.5,4,M6,Z,9.9,6.3,8.7,32,193
Chevrolet,Chevrolet PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,AV,Z,11.6,5.0,9.4,30,213
Ford,Ford TWO-SEATER 1.8L,TWO-SEATER,1.8,4,M5,X,9.5,6.8,8.6,33,204
Nissan,Nissan SUV 1.8L,SUV - STANDARD,1.8,4,AM7,Z,11.8,7.0,10.2,28,249
Chevrolet,Chevrolet MINICOMPACT 3.0L,MINICOMPACT,3.0,6,AS8,E,17.5,9.4,14.8,19,246
BMW,BMW MID-SIZE 2.5L,MID-SIZE,2.5,4,M6,X,10.8,5.1,8.9,32,215
Lexus,Lexus SUV 2.0L,SUV - SMALL,2.0,3,A9,X,10.2,4.8,8.4,34,203
Toyota,Toyota PICKUP 3.0L,PICKUP TRUCK - SMALL,3.0,6,AS8,X,13.0,7.3,11.1,25,258
Honda,Honda VAN 3.5L,VAN - PASSENGER,3.5,6,A8,Z,15.5,9.8,13.6,21,321
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,A8,X,21.4,11.2,18.0,16,421
Chevrolet,Chevrolet VAN 3.5L,VAN - PASSENGER,3.5,6,AS8,X,15.0,6.6,12.2,23,290
Ford,Ford PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,AV,X,13.1,9.2,11.8,24,275
Chevrolet,Chevrolet SUV 5.0L,SUV - STANDARD,5.0,8,A6,X,18.2,9.5,15.3,18,351
BMW,BMW SUV 5.0L,SUV - SMALL,5.0,8,A9,X,18.5,12.8,16.6,17,396
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,M5,X,21.4,10.6,17.8,16,412
Ford,Ford SUV 5.3L,SUV - STANDARD,5.3,8,M6,X,20.6,11.0,17.4,16,403
Ford,Ford TWO-SEATER 3.5L,TWO-SEATER,3.5,6,AV,X,14.3,10.4,13.0,22,309
Toyota,Toyota FULL-SIZE 2.0L,FULL-SIZE,2.0,4,M6,D,8.0,5.6,7.2,39,196
Chevrolet,Chevrolet VAN 3.6L,VAN - PASSENGER,3.6,6,AS8,X,13.6,8.8,12.0,24,284
BMW,BMW MINICOMPACT 1.5L,MINICOMPACT,1.5,4,A8,Z,11.1,5.1,9.1,31,210
Toyota,Toyota COMPACT 3.5L,COMPACT,3.5,6,M5,X,14.9,8.0,12.6,22,292
Honda,Honda SUV 5.0L,SUV - SMALL,5.0,8,AV,X,17.7,9.9,15.1,19,357
Ford,Ford SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,M5,Z,14.2,10.3,12.9,22,310
Jeep,Jeep MINIVAN 3.5L,MINIVAN,3.5,6,A9,X,14.1,9.9,12.7,22,295
Nissan,Nissan VAN 4.0L,VAN - PASSENGER,4.0,8,AS6,X,15.6,9.6,13.6,21,319
Ford,Ford SUV 6.2L,SUV - STANDARD,6.2,8,AS8,E,30.4,13.6,24.8,11,406
Dodge,Dodge SUV 2.5L,SUV - SMALL,2.5,4,AV,Z,12.1,5.5,9.9,29,236
Subaru,Subaru SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,M6,E,17.8,12.1,15.9,18,255
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,AV,X,14.0,7.7,11.9,24,290
BMW,BMW PICKUP 4.0L,PICKUP TRUCK - SMALL,4.0,8,AM7,E,23.3,11.9,19.5,14,319
Jeep,Jeep MINIVAN 5.0L,MINIVAN,5.0,8,A6,X,18.4,10.9,15.9,18,371
Volkswagen,Volkswagen VAN 3.5L,VAN - PASSENGER,3.5,6,M5,Z,18.3,7.8,14.8,19,349
Chevrolet,Chevrolet VAN 3.3L,VAN - PASSENGER,3.3,6,M6,X,14.9,7.4,12.4,23,297
Chevrolet,Chevrolet VAN 3.5L,VAN - PASSENGER,3.5,6,A6,X,14.9,10.1,13.3,21,318
Mercedes-Benz,Mercedes-Benz SUV 3.5L,SUV - SMALL,3.5,6,AV,E,17.9,12.5,16.1,18,267
Toyota,Toyota SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,A8,E,26.6,13.4,22.2,13,366
Nissan,Nissan FULL-SIZE 2.4L,FULL-SIZE,2.4,4,AV,E,16.5,7.8,13.6,21,227
BMW,BMW FULL-SIZE 5.0L,FULL-SIZE,5.0,8,M5,X,18.7,9.4,15.6,18,365
Toyota,Toyota COMPACT 1.5L,COMPACT,1.5,3,AS10,E,12.6,5.4,10.2,28,170
Volkswagen,Volkswagen STATION 3.0L,STATION WAGON - SMALL,3.0,6,AV,X,13.3,8.8,11.8,24,271
Ford,Ford SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,AS8,Z,12.9,6.6,10.8,26,255
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,M5,X,11.6,7.7,10.3,27,243
Volkswagen,Volkswagen SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,A6,X,13.0,7.0,11.0,26,257
Lexus,Lexus VAN 3.0L,VAN - CARGO,3.0,6,A9,N,14.0,8.9,12.3,23,215
Toyota,Toyota MINIVAN 5.0L,MINIVAN,5.0,8,AS10,Z,19.7,12.8,17.4,16,414
Audi,Audi MINICOMPACT 2.4L,MINICOMPACT,2.4,4,A8,X,12.6,5.1,10.1,28,239
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,M6,X,18.4,8.5,15.1,19,359
Mercedes-Benz,Mercedes-Benz STATION 5.0L,STATION WAGON - SMALL,5.0,8,A8,Z,19.9,10.0,16.6,17,393
Audi,Audi SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,A9,X,9.3,6.3,8.3,34,192
Chevrolet,Chevrolet MINIVAN 5.0L,MINIVAN,5.0,8,M5,X,19.9,8.5,16.1,18,385
Chevrolet,Chevrolet MINICOMPACT 1.5L,MINICOMPACT,1.5,4,AS6,X,8.8,4.9,7.5,38,181
Mercedes-Benz,Mercedes-Benz PICKUP 2.0L,PICKUP TRUCK - SMALL,2.0,4,A6,X,10.0,6.4,8.8,32,212
Ford,Ford PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,A8,D,11.7,4.8,9.4,30,254
BMW,BMW COMPACT 1.5L,COMPACT,1.5,4,AV,X,10.0,5.5,8.5,33,192
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AS8,X,18.6,12.9,16.7,17,397
BMW,BMW SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,A9,X,10.1,6.5,8.9,32,207
Ford,Ford MINIVAN 3.5L,MINIVAN,3.5,6,AM7,X,14.3,9.8,12.8,22,290
Lexus,Lexus SUV 1.5L,SUV - STANDARD,1.5,4,AS6,X,9.4,6.4,8.4,34,195
Nissan,Nissan MID-SIZE 2.0L,MID-SIZE,2.0,4,A6,X,9.8,5.6,8.4,34,198
Honda,Honda STATION 1.5L,STATION WAGON - SMALL,1.5,4,AS6,Z,10.3,6.4,9.0,31,211
Hyundai,Hyundai FULL-SIZE 1.8L,FULL-SIZE,1.8,4,AS8,Z,10.3,4.6,8.4,34,199
Toyota,Toyota VAN 2.0L,VAN - CARGO,2.0,4,AV,X,11.7,4.8,9.4,30,219
Ford,Ford PICKUP 2.4L,PICKUP TRUCK - STANDARD,2.4,4,AS8,Z,12.3,5.7,10.1,28,241
Audi,Audi SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,A9,D,11.7,6.3,9.9,29,265
Audi,Audi COMPACT 1.8L,COMPACT,1.8,4,A9,X,8.8,5.8,7.8,36,191
Volkswagen,Volkswagen MINICOMPACT 2.0L,MINICOMPACT,2.0,4,AV,X,10.9,6.1,9.3,30,219
Mercedes-Benz,Mercedes-Benz STATION 2.5L,STATION WAGON - SMALL,2.5,4,M5,X,10.7,6.5,9.3,30,221
Ford,Ford SUV 6.2L,SUV - STANDARD,6.2,8,M6,X,22.2,12.9,19.1,15,448
BMW,BMW SUV 5.0L,SUV - SMALL,5.0,8,AS6,E,26.1,11.1,21.1,13,351
BMW,BMW TWO-SEATER 1.8L,TWO-SEATER,1.8,4,AV,X,9.6,5.7,8.3,34,188
Nissan,Nissan MID-SIZE 3.6L,MID-SIZE,3.6,6,A9,X,15.6,7.8,13.0,22,302
Audi,Audi COMPACT 3.6L,COMPACT,3.6,6,AS10,X,14.3,7.7,12.1,23,292
BMW,BMW PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,3,AS6,Z,10.8,6.9,9.5,30,222
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A6,X,6.9,4.2,6.0,47,139
Nissan,Nissan VAN 5.0L,VAN - PASSENGER,5.0,8,AS6,X,18.7,8.2,15.2,19,355
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AM7,E,17.6,7.1,14.1,20,238
Ford,Ford PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,12.8,8.9,11.5,25,276
Chevrolet,Chevrolet FULL-SIZE 5.0L,FULL-SIZE,5.0,8,AV,Z,20.2,10.3,16.9,17,400
Chevrolet,Chevrolet PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,A9,X,13.1,9.2,11.8,24,274
Chevrolet,Chevrolet PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,M5,D,10.8,7.5,9.7,29,249
Chevrolet,Chevrolet VAN 6.2L,VAN - PASSENGER,6.2,8,AS6,X,20.5,12.7,17.9,16,427
BMW,BMW COMPACT 2.5L,COMPACT,2.5,4,AS8,X,12.2,6.2,10.2,28,244
Chevrolet,Chevrolet PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AS10,X,21.0,10.5,17.5,16,408
Lexus,Lexus VAN 2.0L,VAN - PASSENGER,2.0,4,A9,X,10.2,6.3,8.9,32,210
Ford,Ford COMPACT 3.0L,COMPACT,3.0,6,M6,X,13.7,9.8,12.4,23,295
Toyota,Toyota COMPACT 2.5L,COMPACT,2.5,4,A8,Z,13.6,6.1,11.1,25,258
Mercedes-Benz,Mercedes-Benz PICKUP 2.5L,PICKUP TRUCK - SMALL,2.5,4,AV,E,14.3,10.1,12.9,22,213
Bugatti,Bugatti TWO-SEATER 6.0L,TWO-SEATER,6.0,12,AS10,Z,24.4,11.2,20.0,14,467
Ford,Ford PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,A9,E,18.0,7.5,14.5,19,244
Mercedes-Benz,Mercedes-Benz VAN 3.5L,VAN - CARGO,3.5,6,M6,X,15.5,7.7,12.9,22,304
Ram,Ram PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AS8,D,16.5,8.1,13.7,21,367
Dodge,Dodge STATION 1.8L,STATION WAGON - SMALL,1.8,4,A9,Z,11.2,4.9,9.1,31,219
Jeep,Jeep MINICOMPACT 2.0L,MINICOMPACT,2.0,4,M6,X,10.0,5.2,8.4,34,198
Chevrolet,Chevrolet COMPACT 3.0L,COMPACT,3.0,6,AS8,Z,12.5,5.9,10.3,27,243
Chevrolet,Chevrolet MID-SIZE 1.8L,MID-SIZE,1.8,4,M5,X,10.3,4.6,8.4,34,196
Honda,Honda TWO-SEATER 4.0L,TWO-SEATER,4.0,8,A8,Z,17.2,7.9,14.1,20,336
Subaru,Subaru SUV 2.4L,SUV - SMALL,2.4,4,AV,Z,13.2,6.0,10.8,26,251
Audi,Audi STATION 1.8L,STATION WAGON - SMALL,1.8,4,A6,X,9.4,4.6,7.8,36,182
Audi,Audi SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,AS6,X,12.9,7.8,11.2,25,262
BMW,BMW VAN 2.4L,VAN - CARGO,2.4,4,A6,Z,12.4,7.6,10.8,26,252
Hyundai,Hyundai MID-SIZE 1.5L,MID-SIZE,1.5,4,AV,Z,9.1,4.3,7.5,38,178
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,M5,X,19.3,9.1,15.9,18,375
BMW,BMW COMPACT 1.5L,COMPACT,1.5,3,AS10,Z,9.4,4.6,7.8,36,181
Mercedes-Benz,Mercedes-Benz SUV 2.4L,SUV - SMALL,2.4,4,AV,X,12.0,7.8,10.6,27,248
Toyota,Toyota MINIVAN 2.5L,MINIVAN,2.5,4,AS8,X,11.1,6.0,9.4,30,226
Chevrolet,Chevrolet MINIVAN 1.8L,MINIVAN,1.8,4,M5,E,13.7,6.5,11.3,25,190
Ford,Ford SUV 5.0L,SUV - SMALL,5.0,8,AS8,Z,20.4,11.1,17.3,16,406
Nissan,Nissan MINICOMPACT 1.8L,MINICOMPACT,1.8,4,AS10,Z,10.5,7.5,9.5,30,219
BMW,BMW VAN 2.5L,VAN - PASSENGER,2.5,4,AS6,X,11.2,7.0,9.8,29,236
Audi,Audi SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,A8,Z,11.8,6.1,9.9,29,229
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,M5,X,21.2,8.6,17.0,17,409
Toyota,Toyota MINIVAN 3.6L,MINIVAN,3.6,6,A8,X,14.9,8.3,12.7,22,293
Audi,Audi PICKUP 2.0L,PICKUP TRUCK - SMALL,2.0,4,M6,Z,11.1,7.5,9.9,29,236
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,AM7,E,25.2,14.7,21.7,13,351
